2026-02-01 10:19:14 - MultiModalDetection - INFO - Device: cuda
2026-02-01 10:19:14 - MultiModalDetection - INFO - GPU: NVIDIA GeForce RTX 3060
2026-02-01 10:19:14 - MultiModalDetection - INFO - CUDA Version: 12.4
2026-02-01 10:19:14 - MultiModalDetection - INFO - ======================================================================
2026-02-01 10:19:14 - MultiModalDetection - INFO - TRAINING CONFIGURATION
2026-02-01 10:19:14 - MultiModalDetection - INFO - ======================================================================
2026-02-01 10:19:14 - MultiModalDetection - INFO - Root Directory: F:\Work\DeepLearning\Research\V2X-Radar-V
2026-02-01 10:19:14 - MultiModalDetection - INFO - Batch Size: 2
2026-02-01 10:19:14 - MultiModalDetection - INFO - Number of Epochs: 100
2026-02-01 10:19:14 - MultiModalDetection - INFO - Learning Rate: 0.0001
2026-02-01 10:19:14 - MultiModalDetection - INFO - Number of Samples: 500
2026-02-01 10:19:14 - MultiModalDetection - INFO - ======================================================================
2026-02-01 10:19:14 - MultiModalDetection - INFO - Loading dataset...
2026-02-01 10:19:34 - MultiModalDetection - INFO - Dataset loaded: 500 samples
2026-02-01 10:19:34 - MultiModalDetection - INFO - Initializing model...
2026-02-01 10:19:36 - MultiModalDetection - INFO - ======================================================================
2026-02-01 10:19:36 - MultiModalDetection - INFO - ======================================================================
2026-02-01 10:19:36 - MultiModalDetection - INFO - Model parameters: 20,548,960
2026-02-01 10:19:36 - MultiModalDetection - INFO - 
2026-02-01 10:19:36 - MultiModalDetection - INFO - This forces spconv to use a stable algorithm that works for all voxel counts.
2026-02-01 10:19:36 - MultiModalDetection - INFO - 
2026-02-01 10:19:36 - MultiModalDetection - INFO - Starting training from epoch 5...
2026-02-01 10:19:36 - MultiModalDetection - INFO - 
Epoch 105 | Time 0s | mAP@0.5 0.0000 | Loss 0.7305 | CLS 0.0115 | REG 0.1196
Epoch 106 | Time 0s | mAP@0.5 0.0000 | Loss 0.8082 | CLS 0.0114 | REG 0.1352
Epoch 107 | Time 0s | mAP@0.5 0.0000 | Loss 0.7646 | CLS 0.0113 | REG 0.1266
Epoch 108 | Time 0s | mAP@0.5 0.0000 | Loss 0.8243 | CLS 0.0111 | REG 0.1387
Epoch 109 | Time 0s | mAP@0.5 0.0000 | Loss 0.9955 | CLS 0.0112 | REG 0.1729
Epoch 110 | Time 0s | mAP@0.5 0.0000 | Loss 0.8805 | CLS 0.0113 | REG 0.1498
Epoch 111 | Time 0s | mAP@0.5 0.0000 | Loss 0.7638 | CLS 0.0117 | REG 0.1261
Epoch 112 | Time 0s | mAP@0.5 0.0000 | Loss 0.8662 | CLS 0.0119 | REG 0.1463
Epoch 113 | Time 0s | mAP@0.5 0.0000 | Loss 0.9023 | CLS 0.0121 | REG 0.1534
Epoch 114 | Time 0s | mAP@0.5 0.0000 | Loss 0.8038 | CLS 0.0160 | REG 0.1297
Epoch 115 | Time 0s | mAP@0.5 0.0000 | Loss 0.8840 | CLS 0.0125 | REG 0.1493
Epoch 116 | Time 0s | mAP@0.5 0.0000 | Loss 0.9621 | CLS 0.0125 | REG 0.1649
Epoch 117 | Time 0s | mAP@0.5 0.0000 | Loss 0.9311 | CLS 0.0126 | REG 0.1586
Epoch 118 | Time 0s | mAP@0.5 0.0000 | Loss 0.7793 | CLS 0.0126 | REG 0.1282
Epoch 119 | Time 0s | mAP@0.5 0.0000 | Loss 0.8540 | CLS 0.0126 | REG 0.1432
Epoch 120 | Time 0s | mAP@0.5 0.0000 | Loss 0.9101 | CLS 0.0126 | REG 0.1544
Epoch 121 | Time 0s | mAP@0.5 0.0000 | Loss 0.8465 | CLS 0.0126 | REG 0.1417
Epoch 122 | Time 0s | mAP@0.5 0.0000 | Loss 0.7636 | CLS 0.0127 | REG 0.1251
Epoch 123 | Time 0s | mAP@0.5 0.0000 | Loss 0.8542 | CLS 0.0127 | REG 0.1431
Epoch 124 | Time 0s | mAP@0.5 0.0000 | Loss 0.8553 | CLS 0.0127 | REG 0.1434
Epoch 125 | Time 0s | mAP@0.5 0.0000 | Loss 0.7628 | CLS 0.0126 | REG 0.1249
Epoch 126 | Time 0s | mAP@0.5 0.0000 | Loss 0.8451 | CLS 0.0126 | REG 0.1414
Epoch 127 | Time 0s | mAP@0.5 0.0000 | Loss 0.8961 | CLS 0.0126 | REG 0.1517
Epoch 128 | Time 0s | mAP@0.5 0.0000 | Loss 1.2780 | CLS 0.0132 | REG 0.2312
Epoch 129 | Time 0s | mAP@0.5 0.0000 | Loss 0.7521 | CLS 0.0128 | REG 0.1226
Epoch 130 | Time 0s | mAP@0.5 0.0000 | Loss 0.8447 | CLS 0.0129 | REG 0.1410
Epoch 131 | Time 0s | mAP@0.5 0.0000 | Loss 0.8383 | CLS 0.0129 | REG 0.1397
Epoch 132 | Time 0s | mAP@0.5 0.0000 | Loss 0.7602 | CLS 0.0130 | REG 0.1240
Epoch 133 | Time 0s | mAP@0.5 0.0000 | Loss 0.8294 | CLS 0.0129 | REG 0.1379
Epoch 134 | Time 0s | mAP@0.5 0.0000 | Loss 0.8598 | CLS 0.0129 | REG 0.1440
Epoch 135 | Time 0s | mAP@0.5 0.0000 | Loss 0.7911 | CLS 0.0129 | REG 0.1303
Epoch 136 | Time 0s | mAP@0.5 0.0000 | Loss 0.7672 | CLS 0.0129 | REG 0.1255
Epoch 137 | Time 0s | mAP@0.5 0.0000 | Loss 0.8042 | CLS 0.0129 | REG 0.1329
Epoch 138 | Time 0s | mAP@0.5 0.0000 | Loss 0.7723 | CLS 0.0129 | REG 0.1266
Epoch 139 | Time 0s | mAP@0.5 0.0000 | Loss 0.7597 | CLS 0.0129 | REG 0.1240
Epoch 140 | Time 0s | mAP@0.5 0.0000 | Loss 0.7888 | CLS 0.0129 | REG 0.1299
Epoch 141 | Time 0s | mAP@0.5 0.0000 | Loss 0.7493 | CLS 0.0129 | REG 0.1220
Epoch 142 | Time 0s | mAP@0.5 0.0000 | Loss 0.7755 | CLS 0.0129 | REG 0.1272
Epoch 143 | Time 0s | mAP@0.5 0.0000 | Loss 0.7903 | CLS 0.0129 | REG 0.1302
Epoch 144 | Time 0s | mAP@0.5 0.0000 | Loss 0.7510 | CLS 0.0128 | REG 0.1224
Epoch 145 | Time 0s | mAP@0.5 0.0000 | Loss 0.7605 | CLS 0.0128 | REG 0.1243
Epoch 146 | Time 0s | mAP@0.5 0.0000 | Loss 0.7812 | CLS 0.0128 | REG 0.1284
Epoch 147 | Time 0s | mAP@0.5 0.0000 | Loss 0.7475 | CLS 0.0128 | REG 0.1217
Epoch 148 | Time 0s | mAP@0.5 0.0000 | Loss 0.7647 | CLS 0.0128 | REG 0.1251
Epoch 149 | Time 0s | mAP@0.5 0.0000 | Loss 0.7790 | CLS 0.0128 | REG 0.1280
Epoch 150 | Time 0s | mAP@0.5 0.0000 | Loss 0.7461 | CLS 0.0128 | REG 0.1214
Epoch 151 | Time 0s | mAP@0.5 0.0000 | Loss 0.7497 | CLS 0.0128 | REG 0.1221
Epoch 152 | Time 0s | mAP@0.5 0.0000 | Loss 0.7680 | CLS 0.0128 | REG 0.1258
Epoch 153 | Time 0s | mAP@0.5 0.0000 | Loss 0.7434 | CLS 0.0128 | REG 0.1209
Epoch 154 | Time 0s | mAP@0.5 0.0000 | Loss 0.7467 | CLS 0.0128 | REG 0.1216
Epoch 155 | Time 0s | mAP@0.5 0.0000 | Loss 0.7590 | CLS 0.0128 | REG 0.1240
Epoch 156 | Time 0s | mAP@0.5 0.0000 | Loss 0.7406 | CLS 0.0128 | REG 0.1203
Epoch 157 | Time 0s | mAP@0.5 0.0000 | Loss 0.7364 | CLS 0.0128 | REG 0.1195
Epoch 158 | Time 0s | mAP@0.5 0.0000 | Loss 0.7502 | CLS 0.0128 | REG 0.1223
Epoch 159 | Time 0s | mAP@0.5 0.0000 | Loss 0.7446 | CLS 0.0128 | REG 0.1211
Epoch 160 | Time 0s | mAP@0.5 0.0152 | Loss 0.7322 | CLS 0.0128 | REG 0.1187
Epoch 161 | Time 0s | mAP@0.5 0.0000 | Loss 0.7545 | CLS 0.0128 | REG 0.1231
Epoch 162 | Time 0s | mAP@0.5 0.0000 | Loss 0.7426 | CLS 0.0128 | REG 0.1208
Epoch 163 | Time 0s | mAP@0.5 0.0000 | Loss 0.7329 | CLS 0.0128 | REG 0.1188
Epoch 164 | Time 0s | mAP@0.5 0.0000 | Loss 0.7385 | CLS 0.0128 | REG 0.1199
Epoch 165 | Time 0s | mAP@0.5 0.0000 | Loss 0.7439 | CLS 0.0128 | REG 0.1210
Epoch 166 | Time 0s | mAP@0.5 0.0000 | Loss 0.7347 | CLS 0.0128 | REG 0.1192
Epoch 167 | Time 0s | mAP@0.5 0.0000 | Loss 0.7316 | CLS 0.0128 | REG 0.1186
Epoch 168 | Time 0s | mAP@0.5 0.0000 | Loss 0.7342 | CLS 0.0128 | REG 0.1191
Epoch 169 | Time 0s | mAP@0.5 0.0000 | Loss 0.7352 | CLS 0.0128 | REG 0.1193
